No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"善光寺","informational","301,000","¥24.04","6","53"
2,"善光寺 長野","informational","18,100","¥24.04","22","42"
3,"善光寺駐車場","informational","18,100","¥1.60","1","16"
4,"善光寺 駐車場","informational","14,800","¥6.41","2","30"
5,"善光寺ライブカメラ","navigational","14,800","¥0.00","3","17"
6,"善光寺のライブカメラ",null,"12,100","¥0.00","5","36"
7,"善光寺 食べ歩き","navigational","8,100","¥105.80","3","14"
8,"善光寺 御開帳","navigational","6,600","¥564.25","2","36"
9,"善光寺 観光","informational","6,600","¥46.49","25","34"
10,"善光寺 天気","informational","5,400","¥0.00","1","28"
11,"善光寺表参道","informational","5,400","¥9.62","4","30"
12,"善光寺表参道 たき澤",null,"5,400","¥0.00","1","20"
13,"善光寺そば","informational","5,400","¥16.03","17","30"
14,"善光寺下駅","informational","4,400","¥28.85","3","21"
15,"善光寺仲見世通",null,"4,400","¥0.00","5","34"
16,"善光寺ランチ","informational","4,400","¥11.22","3","28"
17,"善光寺駅","informational","3,600","¥19.24","5","19"
18,"善光寺お土産","navigational","3,600","¥36.87","5","25"
19,"善光寺熊",null,"3,600","¥0.00","3","33"
20,"善光寺の御朱印","informational, commercial","3,600","¥0.00","1","31"
21,"善光寺 アクセス","informational","2,900","¥25.65","8","35"
22,"善光寺 お守り","commercial, informational","2,900","¥0.00","5","14"
23,"善光寺なぜ有名","informational","2,900","¥3.21","12","37"
24,"善光寺 七味","commercial, navigational","2,400","¥16.03","41","25"
25,"善光寺雲上殿","informational","2,400","¥60.91","6","19"
26,"善光寺大本願","informational","2,400","¥0.00","1","23"
27,"善光寺仲見世通り","informational","2,400","¥0.00","3","37"
28,"善光寺 写真","informational","1,900","¥0.00","3","22"
29,"善光寺 宗派","informational","1,900","¥0.00","4","31"
30,"善光寺山門","informational","1,900","¥9.62","2","20"
31,"善光寺七味","transactional","1,900","¥16.03","37","27"
32,"善光寺宿坊","commercial, informational","1,900","¥73.74","14","35"
33,"善光寺ホテル","commercial","1,900","¥70.53","63","23"
34,"善光寺無料駐車場","informational","1,900","¥0.00","1","31"
35,"善光寺お戒壇巡り","informational, navigational","1,600","¥0.00","3","34"
