No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"神田神社","commercial","27,100","¥11.22","6","34"
2,"神田神社神田明神",null,"201,000","¥0.00","8","63"
3,"勝田神社","informational","3,600","¥14.43","3","32"
4,"神田神社駐車場",null,"1,900","¥0.00","6","33"
5,"神田神社 滋賀","commercial","1,600","¥0.00","1","27"
6,"感田神社","commercial","1,000","¥9.62","2","32"
7,"神田神社 御朱印","navigational","590","¥0.00","4","23"
8,"神田神社 お守り","commercial","390","¥0.00","3","36"
9,"勝田神社 米子","informational, commercial","320","¥0.00","1","28"
10,"神田神社御守",null,"320","¥0.00","7","34"
11,"神田神社 宇品","commercial","260","¥0.00","1","21"
12,"神田神社最寄り駅","informational","260","¥0.00","5","27"
13,"神田神社馬",null,"170","¥0.00","5","33"
14,"神田神社米子",null,"170","¥0.00","1","31"
15,"神田神社御朱印帳",null,"140","¥0.00","7","34"
16,"神田神社滋賀サンリオお守り",null,"140","¥0.00","1","31"
17,"神田駅神社",null,"140","¥0.00","1","32"
18,"神田神社 ラブライブ",null,"110","¥0.00","6","20"
19,"神田神社サンリオお守り",null,"110","¥0.00","2","32"
20,"神田神社祭り",null,"110","¥0.00","2","32"
21,"神田神社 呉",null,"90","¥0.00","1","18"
22,"神田神社サンリオ",null,"90","¥0.00","4","33"
23,"神田神社広島",null,"90","¥0.00","1","31"
24,"神田の神社",null,"70","¥0.00","2","32"
25,"神田4丁目",null,"50","¥0.00","1","31"
26,"神田神社あかりちゃん",null,"50","¥0.00","4","33"
27,"神田神社大津市",null,"50","¥0.00","1","31"
28,"神田神社 堅田",null,"50","¥0.00","1","19"
29,"神田神社お祭り",null,"50","¥0.00","4","33"
30,"神田65",null,"40","¥0.00","1","32"
31,"神田82",null,"40","¥0.00","3","32"
32,"神田神社 営業時間",null,"40","¥0.00","6","20"
33,"神田神社 ランチ",null,"40","¥0.00","9","21"
34,"神田神社 秋葉原",null,"40","¥0.00","3","19"
35,"神田723",null,"30","¥0.00","1","31"
36,"神田明神753",null,"30","¥0.00","1","32"
37,"神田神社祭り 2025",null,"30","¥0.00","1","18"
38,"神田神社阿賀",null,"30","¥0.00","2","32"
39,"神田神社例大祭",null,"30","¥0.00","1","32"
40,"神田神社最寄り",null,"30","¥0.00","8","34"
41,"神田神社 ライブカメラ",null,"30","¥0.00","5","20"
42,"神田神社大津",null,"30","¥0.00","1","31"
43,"神田神社歴史",null,"30","¥0.00","3","32"
44,"神田5の5",null,"20","¥0.00","4","33"
45,"神田明神は神社",null,"20","¥0.00","1","31"
46,"宇品 神田神社秋祭り",null,"20","¥0.00","1","18"
47,"神田神社神馬",null,"20","¥0.00","5","33"
48,"神田神社 うさぎ",null,"20","¥0.00","9","21"
49,"神田神社 七五三",null,"20","¥0.00","1","18"
50,"神田神社 御祭神",null,"20","¥0.00","10","22"
51,"神田神社うまくいくお守り",null,"20","¥0.00","9","34"
52,"神田神社 結婚式",null,"20","¥411.97","59","36"
53,"神田神社 盆踊り",null,"20","¥0.00","1","18"
54,"神田神社 聖地",null,"20","¥0.00","11","22"
55,"神田神社節分祭",null,"20","¥0.00","1","32"
56,"勝田神社とんどさん",null,"20","¥0.00","1","31"
57,"神田神社 お守り返納",null,"20","¥0.00","12","22"
58,"神田神社 縁結び",null,"20","¥0.00","3","19"
59,"神田神社 絵馬",null,"20","¥0.00","1","19"
60,"神田3331",null,"10","¥0.00","1","31"
61,"神田神社 復縁",null,"10","¥0.00","1","18"
