No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"待乳山聖天",null,"14,800","¥0.00","7","38"
2,"待乳山聖天読み方",null,"1,900","¥0.00","4","33"
3,"待乳山聖天お参りの仕方",null,"1,900","¥0.00","6","33"
4,"待乳山聖天 大根","informational","1,600","¥3.21","4","35"
5,"待乳山聖天 ご利益","informational","1,300","¥0.00","2","22"
6,"待乳山聖天 アクセス","navigational","880","¥0.00","3","35"
7,"待乳山聖天待ち受け効果",null,"880","¥0.00","4","33"
8,"待乳山聖天本龍院",null,"880","¥0.00","7","34"
9,"台東区立 待乳山聖天公園",null,"880","¥0.00","5","20"
10,"待乳山聖天 御朱印","navigational","480","¥0.00","3","21"
11,"待乳山聖天 参拝方法","navigational","390","¥0.00","3","15"
12,"待乳山聖天 効果",null,"170","¥0.00","5","20"
13,"待乳山聖天お札",null,"90","¥0.00","5","33"
14,"待乳山聖天 おみくじ",null,"70","¥0.00","5","20"
15,"待乳山聖天パワースポット",null,"70","¥0.00","5","33"
16,"待乳山聖天 属性",null,"70","¥0.00","5","20"
17,"待乳山聖天 おみくじ 凶",null,"50","¥0.00","8","16"
18,"待乳山聖天最寄り駅",null,"40","¥0.00","5","33"
19,"待乳山聖天参拝",null,"20","¥0.00","6","33"
20,"待乳山聖天から今戸神社",null,"20","¥0.00","2","32"
21,"待乳山聖天本龍院御朱印",null,"10","¥0.00","1","32"
22,"待乳山聖天 お経",null,"0","¥0.00","1","17"
23,"待乳山聖天駐車場",null,"0","¥0.00","1","30"
24,"待乳山聖天はお寺 神社",null,"0","¥0.00","1","17"
25,"待乳山聖天ふろふき大根",null,"0","¥0.00","1","30"
26,"待乳山聖天回り方",null,"0","¥0.00","1","30"
27,"待乳山聖天公園 読み方",null,"0","¥0.00","1","17"
28,"待乳山聖天から浅草寺",null,"0","¥0.00","1","30"
29,"待乳山聖天から浅草駅",null,"0","¥0.00","1","30"
30,"待乳山聖天は神社",null,"0","¥0.00","1","30"
31,"待乳山聖天スロープカー",null,"0","¥0.00","1","30"
