No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"法輪寺","informational","40,500","¥12.82","2","36"
2,"法輪寺温泉",null,"5,400","¥60.91","7","35"
3,"法輪寺 御朱印","navigational","3,600","¥0.00","1","25"
4,"法輪寺京都",null,"1,900","¥0.00","1","31"
5,"法輪寺達磨寺",null,"1,900","¥0.00","1","32"
6,"法輪寺 京都","informational","1,600","¥25.65","1","24"
7,"法輪寺 早稲田","commercial","1,300","¥0.00","1","16"
8,"法輪寺 アクセス","informational","720","¥0.00","1","24"
9,"法輪寺 東京","informational","480","¥0.00","1","16"
10,"法輪寺 御朱印帳","commercial","480","¥0.00","1","20"
11,"法輪寺 嵐山","informational","480","¥3.21","1","19"
12,"法輪寺 お守り","commercial","390","¥0.00","1","25"
13,"法輪寺まちなかこども園",null,"390","¥0.00","3","32"
14,"法輪寺 十三参り","informational","260","¥0.00","1","22"
15,"法輪寺ブロッサムガーデン","navigational","260","¥0.00","3","11"
16,"法輪寺 御朱印 直書き","navigational, commercial","260","¥0.00","1","17"
17,"法輪院","navigational","260","¥0.00","3","19"
18,"法輪寺御守","informational","260","¥0.00","1","21"
19,"法輪寺堺市",null,"170","¥1,013.09","19","37"
20,"法輪寺 写真",null,"140","¥0.00","1","18"
21,"法輪寺倉敷",null,"140","¥0.00","2","32"
22,"法輪寺徳島",null,"110","¥0.00","1","31"
23,"法輪寺三重塔",null,"90","¥0.00","1","31"
24,"法輪寺 ホームページ",null,"90","¥0.00","1","18"
25,"法輪寺13参り",null,"70","¥0.00","1","31"
26,"法輪寺 大田原",null,"70","¥0.00","1","18"
27,"法輪寺斑鳩",null,"50","¥0.00","6","33"
28,"法輪寺拝観料",null,"50","¥0.00","1","31"
29,"法輪寺 仏像",null,"50","¥0.00","1","19"
30,"法輪寺針供養",null,"50","¥0.00","1","31"
31,"法輪寺 京都 だるま",null,"50","¥0.00","1","13"
32,"法輪寺東京 御朱印",null,"40","¥0.00","1","18"
33,"法琳寺",null,"40","¥0.00","5","33"
34,"法輪寺 大田原市",null,"40","¥0.00","1","18"
35,"法輪寺 宗派",null,"40","¥0.00","1","18"
36,"法輪寺虚空蔵菩薩",null,"40","¥0.00","1","31"
37,"法輪寺橋 読み方",null,"30","¥0.00","1","18"
38,"法輪寺 田辺市",null,"30","¥0.00","1","18"
39,"法輪寺 桜",null,"30","¥0.00","1","18"
40,"法輪寺切",null,"30","¥0.00","1","31"
41,"法輪寺高崎",null,"30","¥0.00","1","31"
42,"法輪寺 西早稲田",null,"20","¥0.00","1","18"
43,"法輪寺展望台",null,"20","¥0.00","3","32"
44,"法輪寺 紅葉",null,"20","¥0.00","1","18"
45,"法輪寺 守山区",null,"20","¥0.00","1","18"
46,"法鈴寺",null,"20","¥0.00","1","32"
47,"法輪寺京都 十三参り",null,"20","¥0.00","1","18"
48,"法輪寺歴史",null,"20","¥0.00","1","31"
49,"ここから 法輪寺まで",null,"20","¥0.00","1","18"
50,"法輪寺保育園",null,"20","¥0.00","1","31"
51,"法輪寺 館林",null,"20","¥0.00","1","19"
52,"法輪寺 羊",null,"20","¥0.00","1","18"
53,"法輪寺 岡山",null,"20","¥0.00","1","19"
54,"法輪寺 小田原",null,"20","¥0.00","1","18"
55,"法輪寺 三木市",null,"20","¥0.00","1","18"
56,"法輪寺 営業時間",null,"20","¥0.00","1","18"
57,"法輪寺切り絵",null,"20","¥0.00","1","31"
58,"法輪寺 ランチ",null,"20","¥0.00","5","20"
59,"法輪寺 神様",null,"10","¥0.00","1","18"
60,"法輪寺 上京区",null,"10","¥0.00","1","18"
61,"法輪寺の電電宮",null,"10","¥0.00","1","31"
62,"法輪寺 節分",null,"10","¥0.00","1","18"
63,"法輪寺 朱印",null,"10","¥0.00","1","18"
64,"法輪寺住所",null,"10","¥0.00","1","31"
65,"法輪寺 松本",null,"10","¥0.00","1","18"
66,"光丸山 法輪寺アクセス",null,"10","¥0.00","1","18"
67,"法輪寺 宮崎",null,"10","¥0.00","1","18"
68,"法輪寺第二保育園",null,"10","¥0.00","1","31"
69,"法瑠寺",null,"10","¥0.00","1","31"
70,"奈良 法輪寺三重塔",null,"10","¥0.00","1","18"
71,"法輪寺 ライトアップ",null,"10","¥0.00","1","18"
72,"法輪寺から法起寺",null,"10","¥0.00","1","31"
