No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"住吉大社","informational","246,000","¥128.24","6","34"
2,"住吉大社駅","informational","12,100","¥22.44","4","21"
3,"住吉大社 アクセス","informational","5,400","¥618.75","5","33"
4,"住吉大社 駐車場","informational","5,400","¥35.27","4","21"
5,"住吉大社 初詣","informational","4,400","¥181.14","6","27"
6,"住吉大社 大阪","informational","4,400","¥49.69","9","32"
7,"住吉大社初詣","navigational","3,600","¥0.00","5","27"
8,"住吉大社 御朱印","navigational","2,900","¥0.00","3","23"
9,"住吉大社 ランチ","informational","2,900","¥78.55","1","19"
10,"住吉大社 お守り","informational","2,400","¥3.21","3","35"
11,"住吉大社 ご利益","informational","2,400","¥0.00","6","25"
12,"住吉大社 お宮参り","informational","2,400","¥0.00","9","32"
13,"住吉大社安産祈願","navigational","2,400","¥0.00","1","35"
14,"住吉大社夏祭り","navigational","1,900","¥0.00","4","16"
15,"住吉大社 厄払い","informational","1,300","¥0.00","6","23"
16,"住吉大社 うさぎ","informational","1,300","¥0.00","3","35"
17,"住吉大社最寄り駅","informational","1,300","¥0.00","6","42"
18,"住吉大社 写真","informational","1,000","¥327.01","1","28"
19,"住吉大社 レビュー","informational","1,000","¥0.00","4","21"
20,"住吉大社うさぎ","informational","1,000","¥0.00","1","35"
21,"住吉大社カフェ","informational","1,000","¥9.62","3","22"
22,"住吉大社最寄駅","informational","1,000","¥0.00","4","27"
23,"縁起焼 住吉大社店","informational, commercial","880","¥30.46","1","24"
24,"住吉大社おみくじ","navigational","720","¥0.00","4","21"
25,"住吉大社結婚式","navigational","720","¥278.92","46","33"
26,"住吉大社サッカー","navigational","720","¥0.00","2","46"
27,"住吉大社 馬","informational","590","¥0.00","5","17"
28,"住吉大社七五三","informational","590","¥338.23","4","17"
29,"住吉大社五大力","informational","590","¥0.00","1","19"
30,"住吉大社サッカークラブ","navigational","590","¥0.00","2","38"
31,"住吉大社周辺ランチ","informational","590","¥11.22","3","22"
32,"住吉大社と住吉神社の 違い","informational","590","¥0.00","4","35"
33,"住吉大社本殿","informational","590","¥0.00","1","38"
34,"住吉大社祭り","informational, navigational","590","¥0.00","3","24"
35,"住吉大社うなぎ","informational","480","¥12.82","6","24"
36,"住吉大社お祓い","informational","480","¥530.59","4","33"
37,"住吉大社神様","informational","480","¥0.00","5","40"
38,"住吉大社スピリチュアル","informational","480","¥0.00","3","12"
39,"住吉大社駐車場無料","informational","480","¥0.00","4","16"
40,"芋よし 住吉大社店","commercial, informational","480","¥0.00","1","32"
41,"住吉大社夏祭り 屋台","navigational","480","¥0.00","9","17"
42,"まどか 住吉大社東","informational, navigational","480","¥193.96","14","15"
43,"住吉大社石","navigational","390","¥0.00","1","32"
44,"住吉大社うさぎお守り","commercial","390","¥0.00","1","20"
45,"住吉大社駅 時刻表","informational","390","¥0.00","1","19"
46,"住吉大社周辺","informational","390","¥0.00","6","17"
47,"住吉大社天気","informational","390","¥0.00","3","19"
48,"住吉大社 蛇","informational","390","¥0.00","1","19"
49,"住吉大社時間","informational","320","¥0.00","5","41"
50,"住吉大社イベント","navigational","320","¥0.00","4","38"
51,"住吉大社おもかる石","commercial","320","¥0.00","3","27"
52,"住吉大社お守り値段","navigational","320","¥0.00","3","24"
53,"住吉大社お守り種類","informational","320","¥0.00","3","32"
54,"住吉大社周辺 グルメ","informational","320","¥134.65","2","20"
55,"住吉大社汐かけ横丁","informational","320","¥0.00","1","16"
56,"住吉大社反橋","informational","320","¥0.00","1","21"
57,"住吉大社太鼓橋","informational, navigational","320","¥0.00","1","23"
58,"住吉大社初詣屋台","navigational, commercial","320","¥0.00","5","14"
59,"住吉大社初辰","informational","320","¥0.00","1","20"
60,"住吉大社前郵便局","informational","320","¥0.00","2","24"
61,"住吉大社初辰の日","navigational","260","¥0.00","3","36"
62,"住吉大社参拝方法",null,"210","¥0.00","1","31"
63,"住吉大社参り方",null,"70","¥0.00","1","31"
64,"住吉大社 5大力",null,"20","¥0.00","1","18"
65,"住吉大社 総本山",null,"20","¥0.00","1","18"
66,"住吉大社 3日",null,"10","¥0.00","1","18"
67,"住吉大社 31日",null,"0","¥0.00","1","17"
68,"住吉大社霊能者",null,"0","¥0.00","1","30"
