No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"鹿島神宮","informational","165,000","¥67.33","2","37"
2,"鹿島神宮駅","informational","18,100","¥94.58","2","24"
3,"鹿島神宮 香取神宮","informational","8,100","¥59.31","2","24"
4,"鹿島神宮 御朱印","navigational","2,900","¥0.00","1","15"
5,"鹿島神宮 ランチ","informational","2,900","¥4.81","1","19"
6,"鹿島神宮 要石","informational","2,900","¥0.00","1","17"
7,"鹿島神宮奥宮","informational","2,900","¥0.00","3","19"
8,"鹿島神宮 写真","informational","2,400","¥0.00","1","19"
9,"鹿島神宮駅から東京駅","informational","2,400","¥6.41","1","18"
10,"鹿島神宮食べ歩き","navigational, informational","1,900","¥0.00","1","18"
11,"鹿島神宮 アクセス","informational","1,600","¥14.43","1","38"
12,"鹿島神宮駅から水戸駅","informational","1,600","¥0.00","1","20"
13,"鹿島神宮怖い","navigational","1,600","¥0.00","1","12"
14,"鹿島神宮なんの神様","informational","1,600","¥0.00","1","34"
15,"鹿島神宮のご利益","informational","1,600","¥0.00","1","30"
16,"鹿島神宮 お守り","informational, commercial","1,300","¥0.00","1","13"
17,"鹿島神宮 ホテル","navigational","1,300","¥99.39","46","19"
18,"鹿島神宮 レビュー","informational, commercial","1,300","¥0.00","1","19"
19,"鹿島神宮御手洗池","informational, navigational","1,300","¥0.00","1","26"
20,"鹿島神宮 バス","informational","1,000","¥12.82","6","21"
21,"鹿島神宮茨城県","informational","1,000","¥0.00","1","37"
22,"鹿島神宮駅 時刻表","informational","1,000","¥0.00","1","20"
23,"鹿島神宮不思議な出来事","informational","1,000","¥0.00","1","33"
24,"鹿島神宮お土産","navigational","880","¥0.00","1","14"
25,"鹿島神宮天気","informational","880","¥0.00","1","18"
26,"鹿島神宮前病院","informational","880","¥0.00","2","14"
27,"鹿島神宮無料駐車場","informational","880","¥0.00","1","17"
28,"鹿島神宮鹿","informational","720","¥0.00","1","26"
29,"鹿島神宮池","informational","590","¥0.00","1","24"
30,"鹿島神宮息栖神社香取神宮",null,"590","¥40.88","2","32"
31,"鹿島神宮周辺観光","informational","590","¥8.01","1","16"
32,"鹿島神宮一の鳥居","informational","480","¥0.00","1","24"
33,"鹿島神宮高速バス","navigational","480","¥8.01","4","18"
34,"鹿島神宮周辺グルメ","informational","480","¥0.00","1","23"
35,"鹿島神宮ランチ 海鮮","informational","480","¥0.00","1","19"
36,"鹿島神宮駅 ホテル","informational","390","¥88.16","67","18"
37,"鹿島神宮駅 駐車場","informational","390","¥6.41","1","16"
38,"鹿島神宮参道","navigational, informational","390","¥0.00","1","25"
39,"鹿島神宮周辺ランチ","informational","390","¥0.00","1","23"
40,"鹿島神宮近くのランチ","informational","390","¥0.00","1","21"
41,"鹿島神宮西の一之鳥居","informational","390","¥0.00","1","15"
42,"鹿島神宮御船祭","informational","390","¥0.00","1","33"
43,"鹿島神宮犬連れ","informational","320","¥0.00","1","25"
44,"鹿島神宮駅 バス","informational","320","¥11.22","1","18"
45,"鹿島神宮駅から東京駅 高速バス","informational","320","¥8.01","2","18"
46,"鹿島神宮お守り種類","informational","320","¥0.00","1","22"
47,"鹿島神宮食事","informational","320","¥0.00","1","18"
48,"鹿島神宮近くのホテル","informational","320","¥56.10","100","20"
49,"鹿島神宮本殿","informational","320","¥0.00","1","26"
50,"鹿島神宮前郵便局","informational","320","¥0.00","1","24"
51,"鹿島神宮今日イベント",null,"320","¥0.00","1","31"
52,"鹿島神宮 アクセス 電車","navigational","260","¥0.00","1","18"
53,"鹿島神宮 バスツアー","navigational","260","¥54.50","48","16"
54,"鹿島神宮温泉","informational","260","¥41.68","7","18"
55,"鹿島神宮おみくじ","navigational","260","¥0.00","1","20"
56,"鹿島神宮高速バス時刻表","navigational","260","¥3.21","2","30"
57,"鹿島神宮周辺ホテル","informational","260","¥44.88","90","22"
58,"鹿島神宮宿泊","navigational","260","¥57.71","89","21"
59,"鹿島神宮蕎麦","informational","260","¥20.84","1","22"
