No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"伊勢神宮","informational, navigational","450,000","¥80.15","21","55"
2,"伊勢神宮 内宮","informational","27,100","¥72.13","11","56"
3,"伊勢神宮 外宮","informational","27,100","¥153.89","9","48"
4,"伊勢神宮 アクセス","informational","22,200","¥166.71","9","44"
5,"伊勢神宮 駐車場","informational","22,200","¥283.73","4","36"
6,"伊勢神宮 天気","informational","22,200","¥0.00","1","20"
7,"伊勢神宮 ホテル","navigational","22,200","¥125.03","100","29"
8,"伊勢神宮 御朱印","navigational","18,100","¥173.12","2","36"
9,"伊勢神宮観光","informational","18,100","¥76.94","50","46"
10,"伊勢神宮 観光","informational, navigational","14,800","¥76.94","49","40"
11,"伊勢神宮 お守り","informational, navigational","14,800","¥36.87","4","34"
12,"伊勢神宮回り方","informational","14,800","¥237.24","8","35"
13,"伊勢神宮 回り方","informational","12,100","¥251.67","4","40"
14,"伊勢神宮お守り","navigational, commercial","12,100","¥33.66","1","41"
15,"伊勢神宮から名古屋","informational","9,900","¥92.97","10","19"
16,"伊勢神宮 何県","informational","8,100","¥123.43","3","42"
17,"伊勢神宮 最寄り駅","informational","8,100","¥136.25","6","47"
18,"伊勢神宮おかげ横丁","informational","8,100","¥240.45","12","39"
19,"伊勢神宮なんの神様","navigational, informational","8,100","¥0.00","2","43"
20,"伊勢神宮お土産","navigational","6,600","¥28.85","8","35"
21,"伊勢神宮 食べ歩き","navigational","5,400","¥346.25","3","17"
22,"伊勢神宮式年遷宮","informational","5,400","¥126.64","2","41"
23,"伊勢神宮近くのホテル","informational","5,400","¥89.77","97","19"
24,"伊勢神宮参拝方法","informational","4,400","¥338.23","5","44"
25,"伊勢神宮東京",null,"4,400","¥62.52","13","36"
26,"伊勢神宮三重県","navigational","4,400","¥62.52","21","62"
27,"伊勢神宮会館","informational","3,600","¥78.55","28","27"
28,"伊勢神宮神様","navigational","3,600","¥0.00","6","38"
29,"伊勢神宮から名古屋駅","informational","3,600","¥141.06","1","27"
30,"伊勢神宮から大阪","informational","3,600","¥99.39","11","19"
31,"伊勢神宮宿泊","navigational","3,600","¥126.64","97","19"
32,"伊勢神宮写真","informational","3,600","¥0.00","3","18"
33,"伊勢神宮ツアー","navigational","3,600","¥65.72","90","29"
34,"伊勢神宮天気予報","informational","3,600","¥76.94","5","20"
35,"伊勢神宮初詣","navigational","3,600","¥0.00","4","28"
