No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"金劔宮",null,"14,800","¥0.00","2","36"
2,"金劔宮 お守り","commercial","1,000","¥67.33","3","13"
3,"金八三宮",null,"590","¥24.04","15","36"
4,"金けん宮","commercial","390","¥0.00","1","35"
5,"金剱宮 お守り","commercial","320","¥193.96","1","15"
6,"金宮丸","informational","320","¥0.00","1","11"
7,"金劔宮 御朱印","navigational","260","¥0.00","1","14"
8,"金8","informational","260","¥0.00","1","30"
9,"金劔宮 孫正義",null,"170","¥0.00","1","18"
10,"金劔宮ホームページ",null,"140","¥0.00","1","31"
11,"金比羅宮天気",null,"110","¥0.00","1","31"
12,"金劔宮 お守り 種類",null,"110","¥0.00","1","13"
13,"金劔宮 お守り 郵送",null,"90","¥0.00","1","13"
14,"金宮 4リットル",null,"90","¥8.82","98","48"
15,"金劔宮 お参りの仕方",null,"70","¥0.00","1","18"
16,"金劔宮 三種の神器",null,"70","¥0.00","1","18"
17,"キンミヤ720",null,"50","¥0.00","56","49"
18,"キンミヤ35",null,"50","¥0.00","97","61"
19,"金宮ホッピー",null,"40","¥0.00","3","32"
20,"金毘羅宮天気",null,"40","¥0.00","4","33"
21,"金剱宮 孫正義",null,"30","¥0.00","1","18"
22,"金劔宮 御祭神",null,"30","¥0.00","1","18"
23,"金毘羅宮ランチ",null,"30","¥0.00","4","33"
24,"金宮18リットル",null,"30","¥28.85","97","61"
25,"金劔宮 神様",null,"20","¥0.00","1","18"
26,"金宮20度",null,"20","¥0.00","100","62"
27,"金劔宮 初詣",null,"20","¥0.00","1","18"
28,"金宮値上げ",null,"10","¥0.00","1","31"
29,"金宮20",null,"10","¥0.00","62","50"
30,"金波宮",null,"10","¥0.00","1","31"
31,"金劔宮から白山比咩神社",null,"0","¥0.00","1","30"
32,"金毘羅宮宮",null,"0","¥0.00","1","30"
33,"金劔宮のパワースポットは",null,"0","¥0.00","1","30"
34,"金そう宮",null,"0","¥0.00","1","30"
35,"金劔宮 宝くじ",null,"0","¥0.00","1","17"
36,"金宮健翁",null,"0","¥0.00","1","30"
37,"金劔宮とは",null,"0","¥0.00","1","30"
38,"金釼宮 お守り",null,"0","¥0.00","1","17"
39,"金宮 本社",null,"0","¥0.00","1","17"
40,"金剱宮 ランチ",null,"0","¥0.00","1","17"
41,"金毘羅宮見どころ",null,"0","¥0.00","1","30"
42,"乙剱社 金劔宮レビュー",null,"0","¥0.00","1","17"
43,"金宮本店",null,"0","¥0.00","1","30"
44,"金甚 一宮 萩原",null,"0","¥0.00","1","12"
