No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"出雲大社","informational","550,000","¥59.31","13","56"
2,"出雲大社 観光","informational","18,100","¥60.91","25","36"
3,"出雲大社 お守り","commercial, navigational","12,100","¥129.84","2","13"
4,"出雲大社 駐車場","informational","12,100","¥51.30","13","14"
5,"出雲大社大阪分祠","informational","12,100","¥32.06","5","31"
6,"出雲大社 天気","informational","9,900","¥0.00","1","20"
7,"出雲大社 ホテル","navigational","9,900","¥92.97","90","20"
8,"出雲大社神在月","commercial, navigational","9,900","¥137.86","4","22"
9,"出雲大社前駅","informational","9,900","¥11.22","1","23"
10,"出雲大社 アクセス","informational","8,100","¥155.49","8","33"
11,"出雲大社 御朱印","navigational","8,100","¥81.75","2","32"
12,"出雲大社から出雲空港","informational","6,600","¥371.89","5","18"
13,"出雲大社から出雲市駅","informational","6,600","¥0.00","2","19"
14,"出雲大社 神様","informational","5,400","¥125.03","1","48"
15,"出雲大社お土産","navigational","5,400","¥142.67","4","34"
16,"出雲大社ツアー","navigational","5,400","¥59.31","69","27"
17,"出雲大社 何県","informational","4,400","¥76.94","1","41"
18,"出雲大社茨城","navigational, commercial","4,400","¥11.22","1","33"
19,"出雲大社お参りの仕方","informational","4,400","¥141.06","3","31"
20,"出雲大社しめ縄","navigational","4,400","¥49.69","1","27"
21,"出雲大社ハワイ","navigational","4,400","¥22.44","7","13"
22,"出雲大社 写真","informational","3,600","¥75.34","1","37"
23,"出雲大社沖縄分社","navigational","3,600","¥20.84","5","23"
24,"出雲大社参拝ルート","navigational","3,600","¥96.18","2","19"
25,"出雲大社そば","commercial","3,600","¥14.43","3","35"
26,"出雲大社近くのホテル","informational","3,600","¥88.16","98","34"
27,"出雲大社と伊勢神宮","informational, navigational","3,600","¥43.28","2","26"
28,"出雲大社のお参りの仕方","informational","3,600","¥309.38","1","31"
29,"出雲大社広島","informational","3,600","¥28.85","5","15"
30,"出雲大社伊勢神宮","informational","2,900","¥150.68","1","17"
31,"出雲大社から玉造温泉","informational, commercial","2,900","¥56.10","3","32"
32,"出雲大社から広島","informational","2,900","¥56.10","2","19"
33,"出雲大社砂","informational, commercial","2,900","¥0.00","1","9"
34,"出雲大社島根県",null,"2,900","¥73.74","17","37"
35,"出雲大社なんの神様","commercial, informational","2,900","¥0.00","1","54"
36,"出雲大社前","informational","2,900","¥3.21","4","38"
37,"出雲大社ライブカメラ","navigational","2,900","¥0.00","1","38"
38,"出雲大社ランチ","informational","2,900","¥0.00","1","17"
