No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"竹生島神社","informational","6,600","¥41.68","1","33"
2,"竹生島宝厳寺","informational","8,100","¥8.01","7","32"
3,"竹生島神社 御朱印","informational","260","¥0.00","1","27"
4,"竹生島神社 お守り","informational","260","¥0.00","1","14"
5,"竹生島神社 御朱印帳",null,"170","¥0.00","1","18"
6,"竹生島神社 辺津宮",null,"140","¥0.00","1","19"
7,"竹生島神社 弁財天",null,"70","¥0.00","1","18"
8,"竹生島神社 小判",null,"70","¥0.00","1","18"
9,"竹生島神社 フェリー",null,"70","¥0.00","3","19"
10,"竹生島宝厳寺 御朱印",null,"70","¥0.00","1","18"
11,"竹生島神社行き方",null,"50","¥0.00","3","32"
12,"竹生島神社 かわらけ投げ",null,"50","¥0.00","1","18"
13,"竹生島神社 授与品",null,"40","¥0.00","1","18"
14,"竹生島神社 白蛇",null,"30","¥0.00","1","18"
15,"竹生島の宝厳寺",null,"20","¥0.00","1","31"
16,"竹生島神社 階段",null,"10","¥0.00","1","18"
17,"竹生島神社 御祭神",null,"10","¥0.00","1","18"
18,"竹生島 竜神拝所",null,"10","¥0.00","1","18"
19,"竹生島神社 館林",null,"0","¥0.00","1","17"
20,"竹生島 龍神祝詞",null,"0","¥0.00","1","17"
21,"竹生島 祭神",null,"0","¥0.00","1","17"
22,"竹生島神社ツアー",null,"0","¥0.00","1","30"
23,"竹生島 ほうげんじ 御朱印",null,"0","¥0.00","1","12"
24,"竹生島神社 属性",null,"0","¥0.00","1","17"
