No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"大安寺","informational","27,100","¥30.46","4","32"
2,"ザ・ビッグエクストラ 大安寺店",null,"5,400","¥0.00","8","22"
3,"マルハン 大安寺店",null,"3,600","¥0.00","5","21"
4,"大安寺中等教育学校","informational","2,900","¥158.70","1","23"
5,"大安寺駅","informational","2,900","¥60.91","7","21"
6,"三洋堂書店 大安寺店","informational","2,900","¥41.68","6","27"
7,"大安寺 奈良","informational","2,400","¥0.00","1","33"
8,"大安寺エブリイ","informational","2,400","¥0.00","1","26"
9,"パケット 大安寺店","informational","2,400","¥100.99","5","16"
10,"tsutaya 大安寺店","informational","2,400","¥109.00","6","22"
11,"大安寺温泉 萬松閣","navigational","1,600","¥107.40","10","18"
12,"ココス 大安寺店","informational, commercial","1,600","¥17.63","5","18"
13,"大安寺高校","informational","1,300","¥78.55","2","34"
14,"大安寺 岡山","informational","1,300","¥0.00","1","19"
15,"えこ便 大安寺局","informational","1,300","¥59.31","6","18"
16,"天満屋ハピーズ 大安寺店","informational","1,300","¥35.27","5","16"
17,"大安寺123",null,"1,300","¥0.00","1","31"
18,"大安寺スタバ","commercial, informational","1,000","¥0.00","2","24"
19,"大安寺マルハチ 爆サイ","informational","1,000","¥0.00","1","15"
20,"大安寺小学校","informational","880","¥25.65","1","16"
21,"大安2024","informational, navigational","880","¥0.00","1","35"
22,"大安寺南町","informational","880","¥17.63","4","21"
23,"大阪王将 大安寺ラ・ムー店",null,"880","¥0.00","3","19"
24,"大安寺中学校","informational","720","¥403.95","1","14"
25,"大安寺高校 岡山","informational","720","¥0.00","1","23"
26,"大安寺駅から岡山駅","informational","590","¥0.00","1","20"
27,"大安寺西しろはとこども園","informational","590","¥113.81","4","11"
28,"大安寺西小学校","informational","480","¥0.00","1","19"
29,"大安寺駐車場","informational","480","¥336.63","5","15"
30,"大安寺マルハチ データ","informational","480","¥0.00","1","11"
31,"大安寺高校 偏差値","informational","390","¥0.00","1","31"
32,"大安寺公園","informational","390","¥0.00","2","20"
33,"大安寺クリニック",null,"390","¥0.00","7","34"
34,"大安寺イオン","informational","320","¥0.00","1","26"
35,"エブリイ 大安寺店","informational","320","¥0.00","1","17"
36,"大安寺ホームページ","navigational","320","¥0.00","1","29"
37,"大安寺ランチ","informational","320","¥0.00","2","22"
38,"大安寺鍼灸整骨院・整体院",null,"320","¥121.83","6","33"
39,"大安寺東町","informational","260","¥6.41","4","20"
40,"大安寺あかり歯科クリニック",null,"260","¥189.15","6","33"
41,"タイム 大安寺店",null,"260","¥0.00","1","18"
42,"大安寺から岡山",null,"210","¥0.00","1","31"
43,"大安寺西",null,"210","¥0.00","5","33"
44,"大安寺中等教育学校 制服",null,"170","¥0.00","1","18"
45,"アヴィラージュ 大安寺東町公園",null,"170","¥130.64","6","20"
46,"大安寺ミスド",null,"170","¥0.00","1","31"
47,"大安寺高校 制服",null,"170","¥0.00","1","18"
48,"大安寺中等教育学校 偏差値",null,"140","¥0.00","1","18"
49,"大安寺橋",null,"140","¥0.00","1","31"
50,"大安寺アパッチライオンズ",null,"140","¥0.00","1","31"
51,"大安寺中学校 偏差値",null,"140","¥0.00","1","18"
52,"大安寺ハピーズ",null,"140","¥0.00","1","32"
53,"大安寺駅 時刻表",null,"140","¥0.00","1","18"
54,"大安寺お守り",null,"140","¥0.00","1","31"
55,"大安寺制服",null,"140","¥0.00","1","31"
56,"両備ヘルシーケア 大安寺東公園前",null,"140","¥72.13","6","20"
57,"大安寺123データ",null,"140","¥0.00","2","32"
58,"大安寺アミーゴ",null,"140","¥0.00","1","32"
59,"大安寺中学 受験",null,"110","¥197.97","5","20"
60,"大安寺マック",null,"110","¥0.00","2","32"
61,"大安寺快活",null,"110","¥0.00","1","32"
62,"大安寺抄",null,"110","¥0.00","1","31"
63,"大安寺ラムー",null,"110","¥0.00","1","32"
64,"大安寺ニトリ",null,"90","¥0.00","1","32"
65,"大安寺霊園",null,"90","¥0.00","3","32"
66,"大安寺皮膚科",null,"90","¥0.00","4","33"
67,"大安寺福井",null,"90","¥0.00","1","31"
68,"大安寺祈祷",null,"90","¥0.00","1","31"
69,"大安寺高校 進学実績",null,"90","¥0.00","1","18"
70,"ベスト個別 大安寺教室",null,"90","¥0.00","15","23"
71,"大安寺教習所",null,"90","¥96.18","19","37"
72,"大安寺ラーメン",null,"90","¥0.00","1","32"
73,"大安寺南町二丁目",null,"70","¥0.00","2","32"
74,"大安寺周辺 ランチ",null,"70","¥0.00","3","19"
75,"大安寺中等教育学校 合格発表",null,"70","¥0.00","1","18"
76,"大安寺から岡山駅",null,"70","¥0.00","1","31"
77,"大安寺マンション",null,"70","¥54.50","9","34"
78,"大安寺駅 奈良",null,"70","¥0.00","1","18"
79,"大安寺公民館",null,"70","¥0.00","2","32"
80,"大安寺ケーズデンキ",null,"70","¥0.00","3","32"
81,"大安寺123 爆サイ",null,"70","¥0.00","1","18"
82,"大安寺土地",null,"70","¥314.99","41","44"
83,"大安寺駅から岡山駅 時刻表",null,"70","¥0.00","1","18"
84,"大安寺宝くじ売り場",null,"70","¥0.00","1","31"
85,"大安寺中等教育学校 入試",null,"50","¥0.00","1","18"
86,"大安寺スーパー",null,"50","¥0.00","2","32"
87,"大安寺温泉 萬松閣 レビュー",null,"50","¥0.00","4","15"
88,"大安寺駅から備中高松駅",null,"50","¥0.00","1","31"
89,"大安寺うどん",null,"50","¥0.00","1","31"
90,"大安寺笹酒祭り 2026",null,"50","¥0.00","1","18"
91,"大安寺新駅",null,"50","¥0.00","1","31"
92,"大安寺まねきねこ",null,"50","¥0.00","3","32"
93,"大安寺中等",null,"50","¥0.00","5","33"
94,"大安寺南",null,"50","¥0.00","2","32"
95,"大安寺飲食店",null,"50","¥0.00","1","32"
96,"大安寺マクドナルド",null,"50","¥0.00","1","31"
97,"大安寺中等教育学校 倍率",null,"40","¥0.00","1","18"
98,"大安寺美容院",null,"40","¥0.00","5","33"
99,"大安寺三洋堂",null,"40","¥0.00","1","32"
100,"大安寺中等教育学校 過去問",null,"40","¥0.00","2","19"
101,"大安寺マルハチ 周年",null,"40","¥0.00","1","18"
102,"大安寺クリニックモール",null,"40","¥0.00","1","31"
103,"大安寺ケーキ屋",null,"40","¥0.00","1","31"
104,"大安寺駅 岡山駅",null,"40","¥0.00","1","18"
105,"まねきねこ 大安寺料金",null,"40","¥0.00","1","18"
106,"大安寺あかり歯科",null,"40","¥0.00","2","32"
107,"大安寺7丁目",null,"40","¥0.00","1","32"
108,"大安寺から近鉄奈良",null,"40","¥0.00","1","31"
109,"大安寺123 イベント",null,"40","¥0.00","1","19"
110,"大安寺笹酒",null,"40","¥0.00","1","31"
111,"大安寺エコ便",null,"40","¥0.00","1","32"
112,"大安寺からjr奈良 バス",null,"40","¥0.00","1","18"
113,"大安寺橋 事故",null,"40","¥0.00","1","18"
114,"大安寺エネオス",null,"40","¥0.00","3","32"
115,"大安寺整体",null,"30","¥0.00","16","36"
116,"大安寺笹酒祭り 2025",null,"30","¥0.00","1","18"
117,"岡山 大安寺スタバ",null,"30","¥0.00","3","19"
118,"大安寺クリニック 求人",null,"30","¥274.91","46","32"
119,"大安寺交差点",null,"30","¥0.00","1","31"
120,"奈良市大安寺7丁目",null,"30","¥0.00","1","31"
121,"大安寺本屋",null,"30","¥0.00","1","32"
122,"大安寺 室蘭",null,"30","¥0.00","1","18"
123,"大安寺駅から総社駅",null,"30","¥0.00","1","31"
124,"大安寺図書館",null,"30","¥0.00","1","31"
125,"大安寺エブリィ",null,"30","¥0.00","5","33"
126,"大安寺オートバックス",null,"30","¥0.00","6","33"
127,"大安寺スタバ ドライブスルー",null,"30","¥0.00","1","18"
128,"大安寺西二丁目 バス停",null,"30","¥0.00","1","18"
129,"大安寺6丁目",null,"30","¥0.00","1","31"
130,"大安寺ココス",null,"30","¥0.00","3","32"
131,"大安寺から近鉄奈良 バス",null,"30","¥0.00","1","18"
132,"大安寺マルハチ 台データ",null,"30","¥0.00","1","18"
