No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"川崎大師","informational","135,000","¥16.03","4","42"
2,"川崎大師平間寺","informational","60,500","¥22.44","6","39"
3,"川崎大師駅","informational","22,200","¥25.65","5","26"
4,"川崎大師 スポッチャ","informational, navigational","12,100","¥1,865.88","2","36"
5,"川崎大師 駐車場","informational","8,100","¥40.07","5","34"
6,"川崎大師平間寺駐車場","informational","6,600","¥25.65","6","14"
7,"川崎大師 初詣","navigational, informational","4,400","¥0.00","1","33"
8,"川崎大師 ランチ","informational","4,400","¥11.22","2","36"
9,"川崎大師仲見世通り","navigational","3,600","¥11.22","3","18"
10,"川崎大師 久寿餅","commercial","2,900","¥12.82","3","34"
11,"川崎大師風鈴市","navigational","2,900","¥0.00","1","15"
12,"川崎大師 食べ歩き","navigational","2,400","¥362.28","2","21"
13,"川崎大師 アクセス","informational, navigational","2,400","¥833.56","3","35"
14,"川崎大師 御朱印","navigational","1,900","¥0.00","2","24"
15,"川崎大師お土産","navigational","1,600","¥14.43","3","14"
16,"川崎大師巻き","informational","1,600","¥11.22","31","21"
17,"川崎大師ラウンドワン","informational","1,600","¥12.82","2","27"
18,"川崎大師お守り","navigational, commercial","1,300","¥36.87","1","24"
19,"川崎大師 屋台","informational, navigational","880","¥0.00","2","20"
20,"川崎大師 厄年","informational","880","¥0.00","2","24"
21,"川崎大師 最寄り駅","informational","880","¥1.60","2","40"
22,"川崎大師 おみくじ","navigational","880","¥0.00","2","21"
23,"川崎大師飴","commercial","880","¥20.84","14","16"
24,"川崎大師観光","informational","880","¥6.41","4","23"
25,"川崎大師くず餅",null,"880","¥0.00","5","33"
26,"川崎大師公園","informational","880","¥0.00","1","36"
27,"川崎大師せんべい","commercial, navigational","880","¥11.22","40","31"
28,"川崎大師天気","informational","880","¥0.00","2","20"
29,"川崎大師無料駐車場","informational","880","¥3.21","2","32"
30,"川崎大師 厄払い","navigational","720","¥211.59","2","33"
31,"川崎大師赤札","navigational","720","¥0.00","2","15"
32,"川崎大師平間寺交通安全祈祷殿寺務棟","informational","720","¥8.01","8","27"
33,"川崎大師最寄駅","informational","720","¥0.00","1","27"
34,"川崎大師ラーメン","commercial, informational","720","¥0.00","1","21"
35,"川崎大師宗派","informational","590","¥0.00","1","38"
36,"川崎大師松月庵","navigational","590","¥0.00","2","22"
