No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"明治神宮","informational","550,000","¥56.10","9","56"
2,"明治神宮前駅","informational","49,500","¥46.49","5","37"
3,"明治神宮外苑","informational, commercial","49,500","¥36.87","5","38"
4,"明治神宮野球大会","informational","40,500","¥0.00","1","39"
5,"明治神宮前","informational","22,200","¥75.34","4","18"
6,"明治神宮外苑アイススケート場","informational, commercial","18,100","¥44.88","3","35"
7,"明治神宮球場","informational, navigational","14,800","¥27.25","1","39"
8,"明治神宮駅","informational","9,900","¥12.82","2","37"
9,"明治神宮 クリスマスマーケット","navigational","8,100","¥4.81","8","26"
10,"明治神宮 最寄り駅","informational","6,600","¥67.33","4","40"
11,"明治神宮 初詣","informational, navigational","6,600","¥33.66","5","42"
12,"明治神宮 駐車場","informational","6,600","¥27.25","5","33"
13,"明治神宮会館","informational","6,600","¥20.84","8","29"
14,"明治神宮大会","informational","6,600","¥0.00","1","35"
15,"明治神宮 時間","informational","5,400","¥1.60","3","42"
16,"明治神宮行ってはいけない","informational","5,400","¥0.00","1","5"
17,"明治神宮お守り","informational, navigational","5,400","¥9.62","4","30"
18,"明治神宮大会高校野球","informational","5,400","¥0.00","1","40"
19,"明治神宮結婚式","informational, navigational","4,400","¥508.15","42","33"
20,"明治神宮ミュージアム","informational","4,400","¥25.65","2","28"
21,"明治神宮 パワースポット","informational","3,600","¥70.53","1","34"
22,"明治神宮一の鳥居","informational","3,600","¥64.12","6","37"
23,"明治神宮至誠館","informational","3,600","¥19.24","5","19"
24,"明治神宮前 ランチ","informational","3,600","¥11.22","10","30"
25,"明治神宮イチョウ並木","informational","2,900","¥46.49","4","38"
26,"明治神宮おみくじ","navigational","2,900","¥0.00","4","32"
27,"明治神宮前駅 構内図","informational","2,900","¥0.00","1","17"
28,"明治神宮ランチ","informational","2,900","¥22.44","10","28"
29,"明治神宮アクセス","informational","2,400","¥3.21","5","43"
30,"明治神宮カフェ","informational","2,400","¥6.41","8","18"
31,"明治神宮スケート","informational","2,400","¥32.06","3","30"
32,"明治神宮なんの神様","informational","2,400","¥0.00","1","44"
33,"明治神宮原宿駅","informational","2,400","¥81.75","5","31"
34,"明治神宮宝物殿","informational","2,400","¥16.03","3","22"
35,"明治神宮前 カフェ","informational","2,400","¥6.41","7","19"
36,"明治神宮夫婦楠","informational, commercial","2,400","¥28.85","4","27"
37,"明治神宮紅葉","informational","2,400","¥0.00","6","24"
38,"明治神宮 厄払い","informational","1,900","¥125.03","6","37"
39,"明治神宮 写真","informational","1,900","¥0.00","4","38"
40,"明治神宮天気","informational","1,900","¥0.00","5","18"
41,"明治神宮本殿","informational","1,900","¥52.90","7","40"
42,"明治神宮前駅から原宿駅","informational","1,900","¥0.00","1","20"
43,"明治神宮球場 最寄り駅","informational","1,600","¥0.00","1","25"
44,"明治神宮結婚式費用","navigational, informational","1,600","¥259.68","24","33"
45,"明治神宮花火大会","informational","1,600","¥0.00","4","45"
46,"明治神宮 桜","informational","1,300","¥0.00","1","29"
47,"明治神宮入口","informational","1,300","¥16.03","5","46"
48,"明治神宮お宮参り","informational","1,300","¥250.07","9","25"
49,"明治神宮から原宿","informational","1,300","¥387.92","4","19"
50,"明治神宮弓道場","informational","1,300","¥0.00","5","27"
51,"明治神宮前駅 ランチ","informational","1,300","¥16.03","10","30"
52,"明治神宮前から原宿","informational","1,300","¥240.45","1","19"
53,"明治神宮アイススケート","informational","1,000","¥36.87","1","34"
54,"明治神宮何時まで","informational","1,000","¥0.00","5","42"
55,"明治神宮井戸","informational","1,000","¥0.00","3","17"
56,"明治神宮営業時間","informational","1,000","¥80.15","9","43"
57,"明治神宮お祓い","informational","1,000","¥0.00","6","39"
58,"明治神宮神様","informational","1,000","¥3.21","1","43"
59,"明治神宮大会 2025","informational","1,000","¥0.00","1","20"
60,"明治神宮大会 高校","informational","1,000","¥0.00","1","40"
61,"明治神宮閉門時間","informational","1,000","¥8.01","9","41"
62,"明治神宮前駅 出口","informational","1,000","¥0.00","1","19"
63,"明治神宮お守り値段","navigational, commercial","880","¥81.75","3","38"
64,"明治神宮神楽殿","informational","880","¥0.00","2","28"
65,"明治神宮参拝時間","informational","880","¥0.00","5","40"
66,"明治神宮地図","informational","880","¥3.21","4","52"
67,"明治神宮鳥居","informational","880","¥9.62","1","36"
68,"明治神宮入場料","informational","880","¥0.00","3","37"
69,"明治神宮ホテル","informational","880","¥128.24","94","23"
70,"明治神宮奉納土俵入り","commercial","880","¥0.00","6","24"
71,"明治神宮前 出口","informational","880","¥0.00","1","18"
