No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"浅草寺","informational","673,000","¥22.44","8","43"
2,"浅草寺雷門","informational","9,900","¥6.41","9","36"
3,"浅草寺浅草","informational","8,100","¥20.84","18","36"
4,"浅草寺病院","informational","6,600","¥110.61","6","33"
5,"浅草寺 おみくじ","navigational","5,400","¥0.00","2","19"
6,"浅草寺 最寄り駅","informational","5,400","¥3.21","1","35"
7,"浅草寺二天門","informational","4,400","¥20.84","8","20"
8,"浅草寺 ご利益","informational","3,600","¥0.00","4","30"
9,"浅草寺 読み方","informational","3,600","¥0.00","3","24"
10,"浅草寺 見どころ","informational","2,900","¥4.81","9","35"
11,"浅草寺の歴史","informational","2,900","¥0.00","2","35"
12,"浅草寺 お守り","navigational, informational","2,400","¥0.00","1","24"
13,"浅草寺 初詣","navigational","2,400","¥290.14","6","24"
14,"浅草寺 駐車場","informational","2,400","¥12.82","10","15"
15,"浅草寺 食べ歩き","navigational","2,400","¥0.00","2","19"
16,"浅草寺喫煙所","informational","2,400","¥51.30","5","13"
17,"浅草寺本堂","informational","2,400","¥0.00","1","19"
18,"浅草寺からスカイツリー","informational","1,900","¥0.00","1","16"
19,"浅草寺宝蔵門","informational","1,900","¥9.62","7","17"
20,"浅草寺ライブカメラ","navigational","1,900","¥0.00","5","13"
21,"浅草寺 時間","informational","1,600","¥0.00","6","27"
22,"浅草寺 宗派","informational","1,300","¥0.00","4","20"
23,"浅草寺お土産","navigational","1,300","¥0.00","2","17"
24,"浅草寺仲見世通り","informational, navigational","1,300","¥6.41","5","35"
25,"浅草寺 凶",null,"1,000","¥0.00","1","18"
26,"浅草寺 おみくじ 割合","informational","1,000","¥0.00","1","18"
27,"浅草寺写真","informational","1,000","¥0.00","2","18"
28,"浅草寺ライトアップ","navigational","1,000","¥0.00","6","24"
29,"浅草寺 おみくじ 凶","navigational","880","¥0.00","1","26"
30,"浅草寺アクセス","navigational, informational","880","¥0.00","7","35"
31,"浅草寺イラスト","informational","880","¥0.00","1","18"
32,"浅草寺営業時間","informational","880","¥0.00","10","29"
33,"浅草寺ほおずき市","informational","880","¥0.00","6","36"
34,"浅草寺英語","informational, commercial","720","¥0.00","2","48"
35,"浅草寺おみくじ 順番","informational","720","¥0.00","8","20"
36,"浅草寺ランチ","informational","720","¥17.63","14","18"
37,"浅草寺煙","navigational","590","¥0.00","3","17"
38,"浅草寺お参りの仕方","informational","590","¥51.30","5","17"
39,"浅草寺参拝方法","navigational, informational","590","¥0.00","8","17"
40,"浅草寺食べ物","informational","590","¥3.21","2","23"
41,"浅草寺とは","informational","590","¥0.00","2","35"
42,"浅草寺何時まで","informational","480","¥0.00","7","21"
43,"浅草寺観光","informational","480","¥11.22","31","27"
44,"浅草寺周辺","informational","480","¥4.81","13","20"
45,"浅草寺地図","informational","480","¥0.00","2","18"
46,"浅草寺なんの神様","informational","480","¥0.00","4","40"
47,"浅草寺仲見世","informational","480","¥20.84","6","38"
48,"浅草寺魅力","navigational, informational","480","¥0.00","1","32"
49,"浅草寺ちょうちん",null,"480","¥0.00","4","33"
50,"浅草寺イベント","navigational","390","¥0.00","1","36"
51,"浅草寺お守り値段","navigational","390","¥0.00","2","25"
52,"浅草寺からスカイツリー 徒歩","informational","390","¥0.00","4","9"
53,"浅草寺神様","informational","390","¥0.00","4","47"
54,"浅草寺駒形堂","navigational","390","¥0.00","2","19"
55,"浅草寺混雑状況リアルタイム","navigational, informational","390","¥0.00","4","26"
56,"浅草寺周辺 観光","informational","390","¥3.21","24","18"
57,"浅草寺トイレ","informational","390","¥0.00","4","20"
58,"浅草寺福祉会館","navigational, informational","390","¥0.00","5","19"
59,"浅草寺マップ","navigational","390","¥0.00","3","34"
60,"浅草寺おみくじ大吉",null,"390","¥0.00","6","33"
61,"浅草寺浅草神社","informational","320","¥0.00","1","26"
62,"浅草寺行き方","informational","320","¥0.00","4","21"
63,"浅草寺駅","informational","320","¥4.81","6","35"
64,"浅草寺おみくじ確率","navigational","320","¥0.00","4","22"
65,"浅草寺近くのホテル","informational","320","¥121.83","98","22"
66,"浅草寺について","informational","320","¥0.00","1","39"
67,"浅草寺入場料","informational","320","¥0.00","1","19"
68,"浅草寺風神雷神","commercial, navigational","320","¥4.81","12","22"
69,"浅草寺本尊","informational","320","¥0.00","2","33"
70,"浅草寺ホテル","commercial, navigational","320","¥145.87","77","23"
71,"浅草寺メロンパン","navigational, informational, commercial","320","¥3.21","4","36"
72,"浅草寺いつ建てられた","navigational","260","¥0.00","1","32"
73,"浅草寺から東京駅","informational","260","¥0.00","5","20"
74,"浅草寺凶確率","informational","260","¥0.00","1","21"
75,"浅草寺参拝時間","informational","260","¥0.00","3","21"
76,"浅草寺周辺 ランチ","informational","260","¥19.24","14","18"
77,"浅草寺周辺 食べ歩き","informational","260","¥0.00","2","21"
78,"浅草寺所要時間","informational","260","¥0.00","1","18"
79,"浅草寺節分","informational","260","¥0.00","1","22"
80,"浅草寺近くの駐車場","informational","260","¥8.01","13","20"
81,"浅草寺駐車場安い","informational","260","¥16.03","7","34"
82,"浅草寺天気","informational","260","¥0.00","1","18"
83,"浅草寺特徴","informational","260","¥0.00","1","33"
84,"浅草寺弁天堂","informational, navigational","260","¥0.00","4","21"
85,"浅草寺豆まき","navigational","260","¥0.00","1","22"
86,"浅草寺最寄り","informational","260","¥0.00","7","35"
87,"浅草寺もんじゃ","informational","260","¥12.82","13","21"
88,"浅草寺料金","informational","260","¥0.00","1","30"
89,"浅草寺節分 2026",null,"260","¥0.00","6","20"
90,"浅草寺豆まき 2026",null,"260","¥0.00","5","20"
91,"浅草寺誰が建てた",null,"210","¥0.00","7","34"
92,"浅草寺祭り",null,"210","¥0.00","1","31"
93,"浅草寺なんじまで",null,"210","¥0.00","6","33"
94,"浅草寺周辺駐車場",null,"210","¥7.21","16","36"
95,"浅草寺から浅草駅",null,"210","¥0.00","2","32"
96,"浅草寺何がある",null,"210","¥0.00","5","33"
97,"浅草寺淡島堂",null,"210","¥0.00","3","32"
98,"浅草寺英文",null,"170","¥0.00","1","31"
99,"浅草寺境内",null,"170","¥0.00","1","31"
100,"浅草寺いつできた",null,"170","¥0.00","3","32"
101,"浅草寺から花やしき",null,"170","¥0.00","4","33"
102,"浅草寺裏",null,"170","¥0.00","4","33"
103,"浅草寺拝観料",null,"170","¥0.00","6","33"
104,"浅草寺混み具合",null,"170","¥0.00","9","34"
105,"浅草寺おみくじ何時まで",null,"170","¥0.00","7","34"
106,"浅草寺線香",null,"170","¥0.00","9","34"
107,"浅草寺門",null,"170","¥0.00","10","35"
108,"浅草寺お参り",null,"140","¥0.00","1","31"
109,"浅草寺混雑",null,"140","¥0.00","1","31"
110,"浅草寺先祖供養",null,"140","¥0.00","1","31"
111,"浅草寺天丼",null,"140","¥0.00","1","31"
112,"浅草寺何区",null,"140","¥0.00","1","31"
113,"浅草寺仲見世通り お土産",null,"140","¥0.00","1","18"
114,"浅草寺近くのランチ",null,"140","¥0.00","16","36"
115,"浅草寺羽子板市",null,"140","¥0.00","3","32"
116,"浅草寺近くの神社",null,"140","¥0.00","9","34"
117,"浅草寺滞在時間",null,"140","¥0.00","6","33"
118,"浅草寺説明",null,"140","¥0.00","3","32"
119,"浅草寺スピリチュアル",null,"140","¥0.00","6","33"
120,"浅草寺初詣 時間",null,"140","¥0.00","1","18"
121,"浅草寺ラーメン",null,"140","¥0.00","3","32"
122,"浅草寺学べること",null,"140","¥0.00","2","32"
123,"浅草寺商店街",null,"140","¥0.00","12","35"
124,"浅草寺抹茶",null,"140","¥0.00","7","34"
125,"浅草寺おみくじ値段",null,"140","¥0.00","4","33"
126,"浅草寺イチョウの木",null,"140","¥0.00","2","32"
127,"浅草寺うなぎ",null,"110","¥0.00","5","33"
128,"浅草寺縁結び",null,"110","¥0.00","1","31"
129,"浅草寺年越し",null,"110","¥0.00","1","31"
130,"浅草寺メンチカツ",null,"110","¥0.00","1","32"
131,"浅草寺店",null,"110","¥0.00","5","33"
132,"浅草寺豆知識",null,"110","¥0.00","1","32"
133,"浅草寺相馬参番館",null,"110","¥0.00","5","33"
134,"浅草寺龍",null,"110","¥0.00","5","33"
135,"浅草寺から上野駅",null,"110","¥0.00","3","32"
136,"浅草寺正式名称",null,"110","¥0.00","6","33"
137,"浅草寺あわぜんざい",null,"110","¥0.00","1","32"
138,"浅草寺から羽田空港",null,"110","¥0.00","8","34"
139,"浅草寺揚げまんじゅう",null,"110","¥0.00","4","33"
140,"浅草寺から東京スカイツリー",null,"110","¥0.00","3","32"
141,"浅草寺祈祷",null,"110","¥0.00","9","34"
142,"浅草寺仁王像",null,"110","¥0.00","6","33"
143,"浅草寺飲食店",null,"110","¥0.00","6","33"
144,"浅草寺食べ歩きマップ",null,"110","¥0.00","6","33"
145,"浅草寺入口",null,"90","¥0.00","1","31"
146,"浅草寺犬",null,"90","¥0.00","1","31"
147,"浅草寺絵馬",null,"90","¥0.00","1","31"
148,"浅草寺恋みくじ",null,"90","¥0.00","1","31"
149,"浅草寺小舟町",null,"90","¥0.00","1","31"
150,"浅草寺参拝",null,"90","¥0.00","1","31"
151,"浅草寺食べ歩き 時間",null,"90","¥0.00","1","18"
152,"浅草寺天井画",null,"90","¥0.00","1","31"
153,"浅草寺人気の理由",null,"90","¥0.00","1","31"
154,"浅草寺年末年始",null,"90","¥0.00","1","31"
155,"浅草寺付近 ランチ",null,"90","¥0.00","1","18"
156,"浅草寺もんじゃ焼き",null,"90","¥0.00","2","32"
157,"浅草寺周辺地図",null,"90","¥0.00","2","32"
158,"浅草寺は何宗",null,"90","¥0.00","6","33"
159,"浅草寺混雑予想",null,"90","¥0.00","6","33"
160,"浅草寺節分 2026 芸能人",null,"90","¥0.00","5","15"
161,"浅草寺名物",null,"90","¥0.00","6","33"
162,"浅草寺付近 観光",null,"90","¥0.00","6","20"
163,"浅草寺混雑状況",null,"90","¥0.00","10","35"
164,"浅草寺歴史簡単に",null,"90","¥0.00","6","33"
165,"浅草寺ライトアップ 時間",null,"90","¥0.00","5","20"
166,"浅草寺おみくじ種類",null,"90","¥0.00","5","33"
167,"浅草寺参道",null,"90","¥0.00","3","32"
168,"浅草寺豆まき 2026 芸能人",null,"90","¥0.00","4","15"
169,"浅草寺初詣 混雑",null,"90","¥0.00","1","18"
170,"浅草寺7月10日",null,"70","¥0.00","1","31"
171,"浅草寺アクセス 電車",null,"70","¥0.00","1","18"
172,"浅草寺wiki",null,"70","¥0.00","1","31"
173,"浅草寺回向",null,"70","¥0.00","1","31"
174,"浅草寺お札",null,"70","¥0.00","1","31"
175,"浅草寺求人",null,"70","¥98.58","21","38"
176,"浅草寺空襲",null,"70","¥0.00","1","31"
177,"浅草寺結婚式",null,"70","¥234.84","24","39"
178,"浅草寺コインロッカー",null,"70","¥0.00","1","31"
179,"浅草寺世界遺産",null,"70","¥0.00","1","31"
180,"浅草寺創建",null,"70","¥0.00","1","31"
181,"浅草寺食べ歩きおすすめ",null,"70","¥0.00","1","31"
182,"浅草寺の提灯",null,"70","¥0.00","1","31"
183,"浅草寺秘仏",null,"70","¥0.00","1","31"
184,"浅草寺付近ホテル",null,"70","¥85.76","55","48"
185,"浅草寺本殿",null,"70","¥0.00","1","31"
186,"浅草寺モーニング",null,"70","¥0.00","1","31"
