No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"西宮神社","informational","74,000","¥33.66","5","34"
2,"西宮神社 福男","informational","2,900","¥0.00","3","20"
3,"西宮神社福男選び","informational","1,900","¥0.00","2","22"
4,"西宮神社ライブカメラ","navigational, informational","1,900","¥0.00","2","23"
5,"西宮神社 イベント","informational","1,000","¥0.00","2","31"
6,"西宮神社福男申し込み","informational","1,000","¥0.00","4","15"
7,"西宮神社 御朱印","navigational","880","¥0.00","3","14"
8,"西宮神社お守り","informational","880","¥0.00","2","22"
9,"西宮神社 お守り","informational","720","¥0.00","4","14"
10,"西宮神社10日えびす","commercial, informational","720","¥0.00","2","13"
11,"西宮神社 陶器市","informational, navigational","590","¥3.21","3","15"
12,"西宮神社足利","informational","590","¥0.00","2","14"
13,"西宮神社お宮参り","informational","590","¥209.99","7","13"
14,"西宮神社イベント今日",null,"590","¥0.00","3","32"
15,"西宮神社 アクセス","informational","480","¥0.00","2","22"
16,"西宮神社七五三","informational","480","¥569.06","4","19"
17,"西宮神社夏祭り","navigational","480","¥0.00","6","15"
18,"西宮神社 福男 2026","informational","390","¥0.00","6","22"
19,"西宮神社 おみくじ","informational, navigational","320","¥0.00","2","19"
20,"西宮神社最寄り駅","informational","320","¥0.00","2","23"
21,"西宮神社 写真",null,"320","¥0.00","5","20"
22,"西宮神社 ご利益","informational","260","¥0.00","1","12"
23,"西宮神社祭り","navigational","260","¥0.00","2","18"
24,"タイムズ 西宮神社西",null,"210","¥0.00","1","19"
25,"西宮神社お守り種類",null,"210","¥0.00","2","32"
26,"西宮神社えべっさん",null,"210","¥0.00","3","32"
27,"西宮神社ライブ",null,"170","¥0.00","2","32"
28,"西宮神社ランチ",null,"170","¥0.00","3","32"
29,"西宮神社お祭り",null,"170","¥0.00","5","33"
30,"西宮神社マグロ",null,"170","¥0.00","2","32"
31,"西宮神社福笹",null,"140","¥0.00","5","33"
32,"西宮神社えびす",null,"140","¥0.00","3","32"
33,"西宮神社福娘",null,"140","¥0.00","4","33"
34,"西宮神社何の神様",null,"140","¥0.00","2","32"
35,"西宮神社安産祈願",null,"110","¥0.00","3","32"
36,"西宮神社社務所",null,"110","¥0.00","4","33"
37,"西宮神社結婚式",null,"110","¥220.41","20","38"
38,"西宮神社えびす講",null,"110","¥0.00","3","32"
39,"西宮神社マグロその後",null,"110","¥0.00","2","32"
40,"西宮神社おみくじ 大福",null,"110","¥0.00","3","19"
41,"西宮神社おみくじ種類",null,"110","¥0.00","2","32"
