No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"長谷寺","informational","301,000","¥9.62","7","53"
2,"長谷寺 奈良","informational","22,200","¥9.62","25","38"
3,"長谷寺 鎌倉","informational","22,200","¥4.81","20","20"
4,"長谷寺あじさい","informational","18,100","¥0.00","1","24"
5,"長谷寺駅","informational","5,400","¥0.00","1","25"
6,"長谷寺御朱印","navigational","3,600","¥0.00","3","14"
7,"長谷寺 見どころ","informational","3,600","¥3.21","18","36"
8,"長谷寺 駐車場","informational","3,600","¥9.62","4","15"
9,"長谷寺写真","informational","3,600","¥0.00","1","20"
10,"長谷寺紅葉","informational","3,600","¥33.66","4","37"
11,"長谷寺 アクセス","informational","2,900","¥0.00","3","30"
12,"長谷寺ランチ","informational","1,900","¥3.21","3","20"
13,"長谷寺 拝観料","informational","1,600","¥0.00","5","38"
14,"長谷寺アクセス 奈良","navigational, informational","1,600","¥0.00","4","22"
15,"長谷寺 桜","informational","1,300","¥0.00","1","36"
16,"長谷寺紫陽花 見頃","informational","1,300","¥0.00","5","32"
17,"長谷寺お守り","informational","1,300","¥0.00","3","12"
18,"長谷寺の歴史","informational","1,300","¥0.00","2","36"
19,"長谷寺 読み方","informational","1,000","¥0.00","2","37"
20,"長谷寺 ライトアップ","navigational","1,000","¥0.00","1","26"
21,"長谷寺カフェ","informational","1,000","¥0.00","4","23"
22,"長谷寺ランチ奈良","informational","880","¥0.00","3","22"
23,"長谷寺観音様","informational","720","¥0.00","6","33"
24,"長谷寺近くのランチ","informational","720","¥8.01","7","19"
25,"長谷寺門前町","informational","720","¥0.00","1","34"
26,"長谷寺 写経","informational","590","¥0.00","3","14"
27,"長谷寺アクセス 鎌倉","navigational, informational","590","¥78.55","4","19"
28,"長谷寺花","navigational","590","¥0.00","3","35"
29,"長谷寺周辺 ランチ","informational","590","¥19.24","4","19"
30,"長谷寺天気","informational","590","¥0.00","3","17"
31,"長谷寺最寄り駅","informational","590","¥4.81","4","36"
32,"長谷寺駐車場 奈良",null,"590","¥0.00","1","19"
33,"長谷寺紫陽花 整理券","informational","480","¥0.00","8","27"
34,"長谷寺お土産","navigational","480","¥0.00","3","14"
35,"長谷寺宗派","informational","480","¥0.00","4","38"
36,"長谷寺入場料","informational","480","¥0.00","3","36"
37,"鎌倉 長谷寺歴史","informational","480","¥0.00","4","34"
38,"長谷寺お地蔵さん","informational, navigational","390","¥0.00","2","21"
39,"長谷寺草餅","informational, navigational","390","¥0.00","2","19"
40,"長谷寺紅葉 鎌倉","informational","390","¥4.81","2","16"
41,"長谷寺山門","informational","390","¥0.00","2","20"
42,"長谷寺所要時間","informational","390","¥0.00","3","11"
43,"長谷寺長野","informational","390","¥0.00","1","16"
44,"長谷寺室生寺","informational","390","¥0.00","3","16"
45,"長谷寺駅から長谷寺 バス","informational","320","¥0.00","1","18"
46,"長谷寺ライトアップ2025",null,"320","¥0.00","2","32"
47,"長谷寺の雨",null,"320","¥0.00","2","32"
48,"長谷寺厚木","informational","260","¥0.00","1","30"
49,"長谷寺イラスト","informational","260","¥0.00","1","18"
50,"長谷寺インスタ","informational","260","¥0.00","4","32"
51,"長谷寺駅から長谷寺","informational","260","¥0.00","5","19"
52,"長谷寺駅 時刻表","informational","260","¥0.00","1","19"
53,"長谷寺営業時間","informational","260","¥0.00","4","40"
54,"長谷寺温泉","navigational, informational","260","¥62.52","24","28"
55,"長谷寺おみくじ","navigational","260","¥0.00","3","21"
56,"長谷寺から高徳院","informational","260","¥0.00","1","18"
57,"長谷寺観音","informational","260","¥0.00","14","32"
58,"長谷寺から長谷駅","informational","260","¥0.00","1","19"
59,"長谷寺紅葉 ライトアップ","informational","260","¥0.00","15","14"
60,"長谷寺周辺観光","informational","260","¥11.22","24","15"
61,"長谷寺宿泊","navigational","260","¥54.50","31","19"
62,"長谷寺について","informational","260","¥0.00","1","36"
63,"長谷寺弁天窟","navigational","260","¥0.00","1","16"
64,"長谷寺本堂","commercial","260","¥0.00","2","34"
65,"長谷寺本坊","informational, commercial","260","¥0.00","1","18"
66,"長谷寺良縁地蔵","navigational","260","¥0.00","4","19"
67,"長谷寺犬連れ",null,"210","¥0.00","5","33"
68,"長谷寺特別拝観",null,"210","¥0.00","4","33"
69,"長谷寺の行き方",null,"210","¥0.00","8","34"
70,"長谷寺地図",null,"210","¥0.00","5","33"
71,"長谷寺梅",null,"210","¥0.00","8","34"
72,"長谷寺駅から長谷寺 徒歩",null,"170","¥0.00","4","20"
73,"長谷寺の雨鳥羽一郎",null,"170","¥0.00","4","33"
74,"長谷寺奈良御朱印",null,"170","¥0.00","5","33"
75,"長谷寺本尊",null,"170","¥0.00","3","32"
76,"長谷寺食事",null,"170","¥0.00","5","33"
77,"長谷寺京都",null,"170","¥0.00","4","33"
78,"長谷寺紅葉見頃",null,"140","¥0.00","7","34"
79,"長谷寺食べ歩き",null,"140","¥0.00","5","33"
80,"長谷寺滞在時間",null,"140","¥0.00","6","33"
81,"長谷寺入館料",null,"140","¥0.00","5","33"
82,"長谷寺参道口 バス",null,"140","¥0.00","1","18"
83,"長谷寺拝観時間",null,"140","¥0.00","7","34"
84,"長谷寺付近 ランチ",null,"140","¥0.00","5","20"
85,"長谷寺景色",null,"140","¥0.00","2","32"
86,"長谷寺駅 ランチ",null,"140","¥0.00","1","18"
87,"長谷寺五重塔",null,"140","¥0.00","1","31"
88,"長谷寺周辺",null,"140","¥0.00","5","33"
89,"長谷寺見晴台",null,"140","¥0.00","1","31"
90,"長谷寺お守り一覧",null,"140","¥0.00","4","33"
91,"長谷寺から鎌倉駅",null,"140","¥0.00","6","33"
92,"長谷寺東京",null,"140","¥384.72","2","32"
93,"長谷寺観音ミュージアム",null,"140","¥0.00","1","31"
94,"長谷寺西麻布",null,"140","¥751.80","8","34"
95,"長谷寺何宗",null,"110","¥0.00","6","33"
96,"長谷寺イベント",null,"110","¥0.00","7","34"
97,"長谷寺初詣",null,"110","¥0.00","1","31"
98,"長谷寺オンラインショップ",null,"110","¥0.00","10","35"
99,"長谷寺参道",null,"110","¥0.00","6","33"
100,"長谷寺11面観音",null,"110","¥0.00","5","33"
101,"長谷寺境内図",null,"110","¥0.00","8","34"
102,"長谷寺混雑状況",null,"110","¥0.00","8","34"
103,"長谷寺特別拝観2025",null,"110","¥0.00","1","31"
104,"長谷寺仁王門",null,"110","¥0.00","1","31"
105,"奈良 長谷寺名物",null,"110","¥0.00","5","20"
106,"長谷寺うどん",null,"110","¥0.00","6","33"
107,"長谷寺天気予報",null,"110","¥0.00","5","33"
108,"長谷寺犬",null,"110","¥0.00","12","35"
109,"長谷寺求人",null,"90","¥94.58","28","40"
110,"長谷寺から銭洗弁天",null,"90","¥0.00","12","35"
111,"長谷寺蕎麦屋",null,"90","¥0.00","6","33"
112,"長谷寺菊回廊",null,"90","¥0.00","5","33"
113,"長谷寺国宝",null,"90","¥0.00","2","32"
114,"長谷寺近くのホテル",null,"90","¥36.87","94","60"
115,"長谷寺紅葉 奈良",null,"90","¥0.00","2","19"
116,"長谷寺何がある",null,"90","¥0.00","8","34"
117,"長谷寺展望台",null,"90","¥0.00","4","33"
118,"長谷寺いつ建てられた",null,"90","¥0.00","4","33"
119,"長谷寺駅 コインロッカー",null,"90","¥0.00","1","18"
120,"長谷寺総本山",null,"90","¥0.00","23","38"
121,"長谷寺レストラン",null,"90","¥0.00","11","35"
122,"長谷寺熊",null,"90","¥0.00","1","32"
123,"長谷寺口コミ",null,"90","¥0.00","6","33"
124,"長谷寺桜井市",null,"90","¥0.00","22","38"
125,"長谷寺ホテル",null,"90","¥68.93","35","42"
126,"長谷寺ライブカメラ",null,"90","¥0.00","7","34"
127,"長谷寺近くのカフェ",null,"90","¥0.00","9","34"
128,"長谷寺から鎌倉大仏",null,"90","¥0.00","7","34"
129,"長谷寺参拝料",null,"90","¥0.00","7","34"
