No,キーワード,検索意図,検索ボリューム,CPC,有料難易度,SEO難易度
1,"鶴岡八幡宮","informational","246,000","¥20.84","11","26"
2,"鶴岡八幡宮 見どころ","informational","6,600","¥8.01","8","23"
3,"鶴岡八幡宮の見どころ","informational","5,400","¥8.01","9","24"
4,"鶴岡八幡宮 歴史","informational","4,400","¥4.81","1","33"
5,"鶴岡八幡宮 ご利益","informational","3,600","¥0.00","3","16"
6,"鶴岡八幡宮 駐車場","informational","3,600","¥22.44","10","15"
7,"鶴岡八幡宮 御朱印","navigational","3,600","¥0.00","1","16"
8,"鶴岡八幡宮 お守り","navigational, commercial","2,400","¥0.00","3","18"
9,"鶴岡八幡宮 読み方","informational","2,400","¥0.00","2","24"
10,"鶴岡八幡宮なんの神様","informational","1,600","¥0.00","1","16"
11,"鶴岡八幡宮 アクセス","navigational, informational","1,300","¥91.37","4","15"
12,"鶴岡八幡宮 おみくじ","navigational","1,300","¥0.00","4","14"
13,"鶴岡八幡宮 写真","informational","1,300","¥248.46","1","18"
14,"鶴岡八幡宮二の鳥居","informational","1,300","¥11.22","5","16"
15,"鶴岡八幡宮 初詣","navigational","1,000","¥0.00","4","29"
16,"鶴岡八幡宮イラスト","informational","1,000","¥0.00","1","21"
17,"鶴岡八幡宮最寄り駅","informational","1,000","¥0.00","6","25"
18,"鶴岡八幡宮お土産","navigational","880","¥234.04","4","16"
19,"鶴岡八幡宮宝物殿","informational","880","¥0.00","7","17"
20,"鶴岡八幡宮ライブカメラ","navigational, informational","880","¥0.00","5","13"
21,"鶴岡八幡宮結婚式","navigational, commercial","720","¥599.52","39","33"
22,"鶴岡八幡宮 お宮参り","commercial, navigational","590","¥211.59","15","29"
23,"鶴岡八幡宮例大祭","navigational","590","¥0.00","1","29"
24,"鶴岡八幡宮 桜 開花状況","navigational","480","¥0.00","1","29"
25,"鶴岡八幡宮 御朱印 時間","informational","480","¥0.00","4","17"
26,"鶴岡八幡宮安産祈願","navigational","480","¥0.00","3","17"
